county_geoid_coalesced,sum_assistance_amount,unique_assisted_addresses
01001,3713891.43,547
01005,2247685.08,641
01007,711308.44,205
01009,950442.52,294
01011,785777.06,170
01013,1357889.7,418
01015,5813316.28,1095
01017,3752208.4,614
01019,408484.05,125
01021,1900160.65,453
01023,473458.16,182
01025,1884276.69,522
01027,695404.62,214
01029,181499.72,28
01031,2404162.85,458
01033,2202006.67,509
01035,730274.77,204
01037,334667.32,100
01039,1291050.52,396
01041,423227.54,159
01043,1475782.75,433
01045,4655743.78,1003
01047,7156567.63,1237
01049,1134318.12,427
01051,6086519.34,1004
01053,2026921.55,506
01055,5329454.76,1148
01057,443842.31,197
01059,653228.19,289
01061,764195.95,105
01063,834529.95,287
01065,876080.9,274
01067,596992.64,114
01069,11428140.5,2029
01071,1043402.23,453
01075,687904.45,293
01077,3237697.37,846
01079,295398.95,92
01081,10760339.709999999,1820
01083,2469648.89,481
01085,489102.88,135
01087,1305522.13,236
01091,1273110.8,298
01093,989064.38,417
01095,1828759.2,639
01097,27421390.62,5828
01099,878944.32,268
01101,41407349.7,5550
01103,6102023.62,1172
01105,743013.26,269
01107,794960.94,278
01109,3232503.87,692
01111,645072.38,201
01113,6922183.24,1126
01115,3644231.47,551
01117,11212912.68,1267
01119,900556.32,265
01121,6435573.16,1495
01123,3248051.02,678
01127,1859031.86,481
01129,223936.43,56
01131,329164.28,64
01133,444354.43,204
02013,170144.41,15
02016,283870.72,21
02020,155889338.4834971,17183
02050,949946.67,135
02060,102767.38,11
02063,1199926.14,103
02066,-99999,-99999
02068,-99999,-99999
02070,450385.14,48
02090,19548202.23,2075
02100,629331.23,84
02105,286837.36,42
02110,11606981.31,818
02122,12193979.93,1280
02130,11448055.71,802
02150,4694110.54,338
02158,-99999,-99999
02164,-99999,-99999
02170,22969990.23,2352
02180,1096184.87,87
02185,171638.54,17
02188,-99999,-99999
02195,1215809.03,120
02198,1013963.03,135
02220,3220895.9,343
02230,631386.48,66
02240,759159.91,108
02275,318368.66,43
02282,-99999,-99999
02290,102753.6,14
05001,671566.57,138
05003,506277.88,132
05005,444389.12,115
05007,15032487.09,2661
05009,275325.82,95
05011,459051.44,100
05013,182205.22,23
05015,358232.02,102
05017,507318.82,112
05019,563297.3,186
05021,160074.87,35
05023,393428.86,96
05025,128689.19,22
05027,671956.8,179
05029,1194618.21,200
05031,9332577.68,1989
05033,1019261.13,246
05035,5661171.28,1206
05037,654918.46,168
05039,276585.11,49
05041,898595.6,170
05043,840129.3,193
05045,5767992.03,1161
05047,167805.66,45
05049,104315.22,22
05051,5509415.84,1031
05053,339884.58,57
05055,1238752.89,295
05057,514048.57,156
05059,1006628.94,176
05061,233647.27,60
05063,652500.49,147
05065,65467.14,18
05067,528789.18,142
05069,8805631.34,1497
05071,562446.83,119
05073,81116.99,16
05075,167816.27,53
05077,531496.61,84
05079,410325.52,54
05081,210533.94,53
05083,190167.07,46
05085,2546761.58,450
05087,164340.19,30
05089,151723.77,32
05091,2514960.33,581
05093,5970987.62,1094
05095,243514.93,61
05097,127767.93,17
05099,117616.06,35
05101,-99999,-99999
05103,989100.93,194
05105,173061.99,34
05107,1781152.81,303
05109,128061.92,24
05111,543920.49,167
05113,169572.53,47
05115,925665.69,242
05117,236973.58,69
05121,128063.81,53
05123,2165319.91,378
05125,3267098.85,552
05127,140236.86,23
05129,58196.23,11
05131,4074949,960
05133,155955.3,40
05135,192308.33,51
05137,161610.43,38
05139,2989726.51,438
05141,379986.36,55
05143,12586071.1,2875
05145,2297420.79,507
05147,135748.45,33
05149,304781.12,55
06001,149427830.52,14785
06003,-99999,-99999
06005,1723715.45,196
06007,13906981.75,1885
06009,2398844.09,236
06011,645740.95,90
06013,148131906.44,11998
06015,1642618.38,183
06017,9018211.84,831
06019,44966548.9,6784
06021,1270758.81,152
06023,12921481.04,1424
06025,6955661.19,1262
06027,460856.8,61
06029,49081303.38,6386
06031,6847202.89,1049
06033,7834979.81,723
06035,762867.3,117
06037,1829744536.29,147530
06039,6373548.96,788
06041,12929030.81,951
06043,606854.43,67
06045,5395379.48,550
06047,15973773.67,2407
06049,335730.36,34
06051,556485.33,75
06053,20787450.45,3266
06055,7679458.68,702
06057,5489553.46,553
06059,317409713.59,24440
06061,25759062.43,2574
06063,570290.21,85
06067,94877873.42,7108
06069,2631770.12,245
06071,197561803.06,18577
06073,206254349.02,24928
06075,156644462.91,15485
06077,39021671.76,4204
06079,14289341.11,1302
06081,76360391.72,5328
06083,42988022.79,3756
06085,175625682.35,15276
06087,17395696.35,1515
06089,11501869.28,1457
06091,-99999,-99999
06093,2994439.01,438
06095,46211783.66,4133
06099,26686040.85,3252
06101,5743430.96,672
06103,3624455.53,463
06105,812779.34,87
06107,22799810.44,3124
06109,3196730.66,346
06111,73601771.22,6467
06113,12991408.58,1647
06115,6520022.04,768
09001,71017109.41,9043
09003,97202869.13,14336
09005,6499677.73,977
09007,8367565.8,1152
09009,107497643.9,14696
09011,24317884.06,3372
09013,6084948.53,857
09015,7353779.81,1244
10001,21086056.87,2375
10003,102795174.66,10813
10005,7720956.37,1002
11001,330596646.1,109087
12001,33476634.45,5909
12003,657286.85,158
12005,10314317.93,2172
12007,966139.85,261
12011,247702903.76,30642
12013,148696.05,48
12015,4717286.9,863
12017,2255980.38,539
12023,3418460.38,874
12027,862720.14,231
12029,203922.76,55
12031,166362620.06,24213
12033,26458376.37,5677
12035,5786664.43,963
12037,140681.98,41
12039,3019610.52,787
12041,116691.66,33
12043,271367.24,81
12045,329529.11,79
12047,223391.8,91
12049,347677.98,113
12051,1484863.3,340
12053,6182123.94,1187
12055,4458428.84,1079
12057,209625616.2,30630
12059,126793.42,50
12061,5600798.63,1160
12063,1203294.28,387
12065,416033.46,127
12067,62303.15,14
12069,33984364.08,5002
12071,59438428.53,6940
12073,68427537.01,13828
12075,627931.17,180
12077,130372.53,26
12079,761892.8,254
12081,30049456.81,3878
12083,26825751,4874
12085,3095399.82,582
12086,329455575.02,43181
12087,2926655.74,449
12089,1648588.46,296
12091,5428233.98,1076
12093,1032261.35,231
12097,46329253.4,6828
12099,144898731.91,19495
12103,97565408.96,12082
12105,70517719.19,11680
12107,4307600.07,970
12111,25669517.95,3922
12113,2691087.05,595
12115,26859700.59,2225
12117,69225529.04,9633
12119,2553192.93,484
12121,868007.67,245
12123,606731.54,205
12125,207446.68,64
12127,65511069.96,9472
12129,752398.43,149
12131,736557.55,157
12133,412536.31,115
13001,156720.21,17
13003,-99999,-99999
13005,277942.12,56
13007,-99999,-99999
13009,1134242.04,197
13011,-99999,-99999
13013,2135178.35,178
13015,3650567.48,376
13017,277192.18,42
13019,264039.72,55
13021,12309449.21,1668
13023,86338.04,11
13025,115251.79,14
13027,301662.22,48
13029,719224.32,104
13031,2060707.06,327
